1871010;Teluk Betung Barat
1871011;Teluk Betung Timur
1871020;Teluk Betung Selatan
1871021;Bumi Waras
1871030;Panjang
1871040;Tanjung Karang Timur
1871041;Kedamaian
1871050;Teluk Betung Utara
1871060;Tanjung Karang Pusat
1871061;Enggal
1871070;Tanjung Karang Barat
1871071;Kemiling
1871072;Langkapura
1871080;Kedaton
1871081;Rajabasa
1871082;Tanjung Senang
1871083;Labuhan Ratu
1871090;Sukarame
1871091;Sukabumi
1871092;Way Halim
